ticker,marketCap,priceToBook
CSX,76668911616,5.8269725
CTAS,69741568000,14.563529
CTRA,26243227648,1.7701291
CTSH,30184710144,1.9950873
CTVA,57473904640,2.3791761
CVNA,69200101376,12.975241
CVS,93494788096,1.2418677
CVX,397811384320,2.1132176
D,55172616192,1.964079
DAL,43603005440,2.079751
DASH,67966005248,6.7715545
DD,19054997504,1.3370179
DDOG,42589544448,11.36866
DE,155503476736,5.912662
DECK,14328173568,5.362169
DELL,115553181696,-46.032204
DG,26369898496,3.0978992
DGX,22028212224,3.0379553
DHI,40663695360,1.6911418
DHR,135255506944,2.5717206
DIS,171326914560,1.581722
DLR,63555969024,2.8125389
DLTR,21563639808,5.732713
DOC,11485639680,1.5309054
DOV,27698907136,3.7398937
DOW,29792243712,1.8549218
DPZ,12470267904,-3.2850816
DRI,22605289472,10.7026825
DTE,30796480512,2.4997466
DUK,102895812608,2.0222073
DVA,9731877888,-15.327437
DVN,30755817472,1.9823754
DXCM,24266811392,8.719171
EA,50951655424,8.278779
EBAY,42551279616,9.159369
ECL,74638958592,11.266092
ED,41705168896,1.7231959
EFX,22002544640,4.7693634
EG,13211214848,0.86104184
EIX,28275191808,1.6547654
EL,25002573824,6.2013283
ELV,66374721536,1.5127081
EME,33856421888,9.164718
EMR,74055180288,3.6502213
EOG,76525142016,2.5707386
EPAM,7622929408,2.0366628
EQIX,98291277824,6.9414225
EQR,23634190336,2.0654557
EQT,37269155840,1.5685347
ERIE,13046844416,5.713795
ES,26109976576,1.6101518
ESS,17101476864,2.876381
ETN,140251234304,7.2108955
ETR,52601061376,3.0712073
EVRG,19076737024,1.866186
EW,47073841152,4.5528593
EXC,50473230336,1.7516512
EXE,24974974976,1.3379093
EXPD,19466170368,8.287014
EXPE,27607107584,21.49399
EXR,29662763008,2.1041546
F,46528557056,1.28703
FANG,54689472512,1.4924065
FAST,53167611904,13.478893
FCX,88215437312,4.6637793
FDS,8519770624,3.9488697
FDX,86287360000,2.8999302
FE,29653735424,2.3700864
FFIV,17233645568,4.8771663
FICO,25851432960,-14.321988
FIS,23971311616,1.711845
FISV,30205763584,1.162733
FITB,42661097472,1.5610192
FIX,49987055616,20.324839
FOX,24682565632,2.0574386
FOXA,24936716288,2.2812002
FRT,9281911808,2.9823778
FSLR,20959983616,2.1974957
FTNT,61373280256,49.537815
FTV,17811660800,2.723388
GD,94549581824,3.678426
GDDY,11037014016,51.17168
GE,296571469824,15.787523
GEN,11649766400,4.9090433
GILD,173408583680,7.637348
GIS,19970351104,3.614062
GL,11213655040,1.8877666
GLW,127065473024,10.736734
GM,67669762048,1.0729182
GNRC,11389990912,4.326282
GOOG,3562082664448,8.571594
GOOGL,3577929793536,8.609728
GPC,14394964992,3.219353
GPN,17927680000,0.66233724
GRMN,45743067136,5.1017556
GS,256109641728,2.421053
GWW,52936982528,14.183176
HAL,32124887040,3.046775
HAS,12684228608,23.50365
HBAN,32166119424,1.145448
HCA,105513902080,-17.583662
HD,320347176960,25.002333
HIG,37983432704,2.022754
HII,15617773568,3.0680094
HLT,70881107968,-13.042084
HOLX,16888477696,3.2172325
HON,145855791104,10.4838705
HOOD,62031249408,6.794202
HPE,32701976576,1.3201374
HPQ,17909878784,-23.36527
HRL,12155779072,1.5310507
HSIC,8704572416,2.6379821
HST,13334630400,2.0073414
HSY,41792847872,9.02008
HUBB,26275121152,6.840263
HUM,21445580800,1.2145199
HWM,93653696512,17.456673
IBKR,115170893824,5.6262455
IBM,232875606016,7.121825
ICE,92927696896,3.195937
IDXX,45349867520,28.279543
IEX,14161030144,3.5280063
IFF,18504235008,1.3084872
INCY,19091460096,3.6842308
INTC,252958507008,2.201538
INTU,117565235200,6.1524124
INVH,15662675968,1.6375057
IP,18420826112,1.2390043
IQV,29402220544,4.518687
IR,30783051776,3.0201187
IRM,30729562112,-31.142601
ISRG,160561561600,9.006455
IT,11377377280,34.961243
ITW,74416119808,23.10604
IVZ,10710285312,1.1026355
J,15117666304,4.3710737
JBHT,20463374336,5.702346
JBL,28687304704,21.18069
JCI,81386438656,6.1631517
JKHY,11397951488,5.158712
JNJ,585701851136,7.1767306
JPM,794545750016,2.3199043
KDP,34387836928,1.3477103
KEY,22305083392,1.2620223
KEYS,49952829440,8.049528
KHC,26977544192,0.6476456
KIM,15304586240,1.4660094
KKR,84489887744,2.867786
KLAC,199301152768,36.39426
KMB,31908022272,21.244198
KMI,73351872512,2.3538232
KO,330214637568,10.259428
KR,44422897664,5.863997
L,22255169536,1.1872293
LDOS,20073687040,4.0829864
LEN,21416757248,0.9662715
LH,22691387392,2.610238
LHX,66590814208,3.3876371
LII,15945491456,13.601389
LIN,232901902336,6.0935245
LITE,59039232000,69.73771
LLY,837361664000,31.548811
LMT,143529492480,21.220142
LNT,18815440896,2.5541687
LOW,129596620800,-13.069526
LRCX,274367184896,26.93797
LULU,18267686912,3.6560857
LUV,18473555968,2.4289405
LVS,36741148672,23.064516
LYB,25644730368,2.5429685
LYV,36570398720,134.49913
MA,440364466176,57.01872
MAA,14988545024,2.5774493
MAR,87956324352,-23.40172
MAS,12037251072,-65.25386
MCD,219176468480,-121.92934
MCHP,35498487808,5.4112015
MCK,109143719936,-83.79418
MCO,78462328832,19.304108
MDLZ,74247233536,2.8540251
MDT,111222947840,2.2696428
MET,46596816896,1.6319749
META,1453128548352,6.6901145
MGM,10032216064,3.8992243
MKC,13113207808,1.880582
MLM,36017147904,3.590095
MMM,76092350464,16.292997
MNST,70797451264,8.575661
MO,110389452800,-31.434036
MOS,8309112320,0.6873457
MPC,71247536128,4.118619
MPWR,54937993216,15.427023
MRK,298838032384,5.6858597
MRNA,19512074240,2.2410495
MRSH,85543133184,5.6067176
MS,263283097600,2.5760095
MSCI,40027189248,-15.097133
MSFT,2775695753216,7.0979753
MSI,73110978560,30.181519
MTB,31313893376,1.2112898
MTD,25608593408,-1085.2196
MU,413021306880,5.701387
NCLH,8623478784,3.8998764
NDAQ,49476755456,4.038686
NDSN,14676665344,4.7159834
NEE,194080063488,3.5531738
NEM,124072050688,3.6656704
NFLX,418504835072,15.650381
NI,22725541888,2.4043136
NKE,65418137600,4.6432695
NOC,100260847616,5.982542
NOW,107624587264,8.239761
NRG,32427720704,28.192394
NSC,64676745216,4.157284
NTAP,20469536768,17.672709
NTRS,26901946368,2.1955209
NUE,39282012160,1.880616
NVDA,4311464017920,27.408838
NVR,18615214080,4.8262186
NWS,15459545088,1.7828376
NWSA,14045355008,1.5475359
NXPI,49161396224,4.891878
O,58007752704,1.473228
ODFL,41401491456,9.578637
OKE,55609896960,2.4729044
OMC,23216261120,1.9444805
ON,25023911936,3.215449
ORCL,420995629056,12.547574
ORLY,76654485504,-100.79382
OTIS,30343276544,-5.628569
OXY,62447046656,2.23774
PANW,133179367424,12.215404
PAYX,32855273472,8.186038
PCAR,62223831040,3.2270558
PCG,39057891328,1.2615362
PEG,40840777728,2.3994136
PEP,214623387648,10.517818
PFE,161094254592,1.8620554
PFG,19794415616,1.6481004
PG,334433288192,6.3628683
PGR,114398216192,3.773895
PH,114612183040,8.008643
PHM,22536284160,1.740776
PKG,18240571392,3.9404101
PLD,124704497664,2.3394544
PLTR,355068182528,48.060863
PM,246403645440,-24.62617
PNC,85593251840,1.5074804
PNR,14008888320,3.6206388
PNW,12416983040,1.7621523
PODD,14382575616,9.491313
POOL,7465352192,6.2626915
PPG,23104972800,2.9047325
PPL,29030494208,1.9501363
PRU,33957840896,1.0466813
PSA,49213276160,10.044787
PSKY,10583775232,0.9151207
PSX,70615105536,2.4296114
PTC,16974794752,4.413812
PWR,83881140224,9.38183
PYPL,42422460416,2.0593178
QCOM,135428120576,5.9023414
RCL,74611539968,7.3712144
REG,14389221376,2.1014414
REGN,80542629888,2.5007548
RF,22857021440,1.2985038
RJF,28080220160,2.2430437
RL,21104162816,7.3016806
RMD,32709584896,5.1640778
ROK,41040359424,10.94841
ROL,25993658368,18.883053
ROP,38521286656,1.9188659
ROST,71151411200,11.45968
RSG,68955930624,5.7438817
RTX,264093614080,4.0366616
RVTY,9943788544,1.3773559
SATS,37172543488,6.4459248
SBAC,21557641216,-4.442122
SBUX,102958538752,-12.271864
SCHW,166623363072,3.864732
SHW,78792376320,17.031761
SJM,10186107904,1.9454293
SLB,74216030208,2.8316152
SMCI,13943189504,1.9890355
SNA,19031123968,3.1966074
SNPS,75848990720,2.4814186
SO,109084672000,3.0283723
SPG,61308936192,11.873505
SPGI,130555248640,4.1388845
SRE,64810586112,2.0494597
STE,21465733120,2.998862
STLD,26107807744,2.9159048
STT,35975442432,1.4803237
STX,96187531264,204.06842
STZ,26322993152,3.399892
SW,20597938176,1.1166373
SWK,10658861056,1.1752821
SWKS,8299119616,1.4365662
SYF,24642906112,1.5291436
SYK,126974607360,5.656328
SYY,34080706560,14.927628
T,198326353920,1.8037692
TAP,8292085248,0.82136595
TDG,65904648192,-7.099965
TDY,28861689856,2.7372882
TECH,8312364032,4.1182857
TEL,61369466880,4.728272
TER,48471285760,17.286026
TFC,60329259008,0.9878095
TGT,54546452480,3.3742332
TJX,179505889280,17.523901
TKO,16081219584,4.2397885
TMO,182569648128,3.4620588
TMUS,225267220480,3.765612
TPL,30626594816,20.991352
TPR,28896544768,51.930855
TRGP,52532068352,17.099777
TRMB,15493413888,2.633239
TROW,19663632384,1.8147238
TRV,65578414080,1.9439026
TSCO,23064713216,8.946509
TSLA,1353089417216,16.467552
TSN,22754863104,1.2625513
TT,94698078208,11.02486
TTD,10495293440,4.224138
TTWO,37011017728,10.583531
TXN,177421991936,10.861108
TXT,15335003136,1.9489574
TYL,14530334720,3.9365318
UAL,29851879424,1.9517822
UBER,147855048704,5.4936147
UDR,13041581056,3.503945
UHS,10794009600,1.4830046
ULTA,23839789056,8.466168
UNH,251662204928,2.6691954
UNP,145279008768,7.861159
UPS,83420889088,5.1368175
URI,46120316928,5.1507397
USB,82268192768,1.4106083
V,579954278400,15.014475
VICI,29568235520,1.0635189
VLO,72989310976,3.0755758
VMC,36546838528,4.28764
VRSK,25795076096,82.88401
VRSN,24088094720,-11.0852785
VRT,99969155072,25.360575
VRTX,111447334912,5.969656
VST,51181879296,19.499548
VTR,39550353408,3.1569169
VTRS,15479786496,1.0517254
VZ,208353607680,1.994348
WAB,43407740928,3.8877068
WAT,29846511616,7.073539
WBD,68484911104,1.8863496
WDAY,34784378880,4.391102
WDC,100850032640,14.103274
WEC,38295760896,2.8109686
WELL,141176274944,3.3450162
WFC,248702222336,1.5152085
WM,94953308160,9.495422
WMB,88045699072,6.888634
WMT,1002848518144,10.062395
WRB,25077596160,2.5656078
WSM,21443121152,10.275464
WST,18366394368,5.776337
WTW,27289731072,3.4408193
WY,17610635264,1.8674515
WYNN,10640024576,-37.95759
XEL,50371813376,2.13265
XOM,669557260288,2.588893
XYL,29483327488,2.5728836
XYZ,36326215680,1.6209766
YUM,43338829824,-5.902662
ZBH,18012721152,1.3993841
ZBRA,10275670016,2.8035634
ZTS,51975360512,15.045286
